"Name","Value","x","y"
"Marshal","10","3","3"
"General","9","2","8"
"Colonel","8","3","2"
"Colonel","8","3","6"
"Major","7","3","4"
"Major","7","2","1"
"Major","7","1","8"
"Captain","6","3","0"
"Captain","6","2","6"
"Captain","6","2","5"
"Captain","6","1","5"
"Lieutenant","5","2","3"
"Lieutenant","5","1","2"
"Lieutenant","5","1","4"
"Lieutenant","5","1","7"
"Sergeant","4","3","8"
"Sergeant","4","0","3"
"Sergeant","4","0","7"
"Sergeant","4","0","9"
"Miner","3","0","2"
"Miner","3","0","4"
"Miner","3","0","5"
"Miner","3","0","6"
"Miner","3","0","8"
"Scout","2","3","1"
"Scout","2","3","5"
"Scout","2","3","9"
"Scout","2","2","0"
"Scout","2","2","2"
"Scout","2","2","4"
"Scout","2","1","1"
"Scout","2","1","3"
"Spy","1","2","7"
"Flag","0","0","0"
"Bomb","11","3","7"
"Bomb","11","2","9"
"Bomb","11","1","0"
"Bomb","11","1","6"
"Bomb","11","1","9"
"Bomb","11","0","1"
